Rk,Player,WAR/pos,G,Year,Age,Tm,Lg,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
59,Mike Corkins\corkimi01,0.4,25,1970,24,SDP,NL,44,37,6,8,1,0,1,4,2,0,23,0,5,0,1,0,0,0.216,0.256,0.324,0.581,*1/H
60,Bart Johnson\johnsba01,0.4,18,1970,20,CHW,AL,32,29,3,8,2,0,0,2,1,0,6,0,2,0,0,0,0,0.276,0.3,0.345,0.645,*1
61,Anthony Bemboom\bemboan01,0.3,21,2020,30,LAA,AL,60,48,9,10,1,0,3,5,7,0,13,2,2,1,0,0,1,0.208,0.328,0.417,0.744,*2/H1
62,Taylor Clarke\clarkta01,0.3,21,2019,26,ARI,NL,25,24,2,6,0,0,1,2,0,0,10,0,1,0,0,0,0,0.25,0.25,0.375,0.625,*1
63,J.D. Davis\davisjd01,0.3,24,2017,24,HOU,AL,68,62,8,14,4,0,4,7,4,0,20,1,0,1,3,1,1,0.226,0.279,0.484,0.763,*5/H31
64,Michael Lorenzen\lorenmi01,0.3,30,2015,23,CIN,NL,41,36,4,9,0,1,0,4,0,0,13,1,4,0,0,0,0,0.25,0.27,0.306,0.576,*1/H
65,Noah Syndergaard (RoY-4th)\syndeno01,0.3,22,2015,22,NYM,NL,50,43,2,9,1,0,1,4,1,0,26,0,6,0,0,0,0,0.209,0.227,0.302,0.53,*1
66,Hyun Jin Ryu (RoY-4th)\ryuhy01,0.3,27,2013,26,LAD,NL,66,58,5,12,3,1,0,5,2,0,23,0,6,0,1,0,0,0.207,0.233,0.293,0.526,*1
67,Tony Cingrani\cingrto01,0.3,22,2013,23,CIN,NL,35,28,4,7,1,0,0,1,0,0,9,0,7,0,0,1,0,0.25,0.25,0.286,0.536,*1/H
68,Matt Harvey\harvema01,0.3,10,2012,23,NYM,NL,21,18,0,6,2,0,0,3,0,0,7,0,3,0,0,0,0,0.333,0.333,0.444,0.778,*1
69,Drew Pomeranz\pomerdr01,0.3,22,2012,23,COL,NL,31,26,2,6,2,0,1,1,1,0,15,0,4,0,1,0,0,0.231,0.259,0.423,0.682,*1
70,Cory Luebke\luebkco01,0.3,44,2011,26,SDP,NL,36,33,3,7,0,0,0,0,2,0,16,0,1,0,0,0,0,0.212,0.257,0.212,0.469,*1/H
71,Brad Lincoln\lincobr01,0.3,10,2010,25,PIT,NL,18,15,0,6,0,0,0,3,0,0,3,0,3,0,0,0,0,0.4,0.4,0.4,0.8,*1
72,Joel Hanrahan\hanrajo01,0.3,12,2007,25,WSN,NL,17,14,3,4,2,1,0,3,0,0,5,0,3,0,0,0,0,0.286,0.286,0.571,0.857,*1
73,Enrique Gonzalez\gonzaen01,0.3,22,2006,23,ARI,NL,35,32,3,9,1,0,0,3,0,0,8,0,3,0,1,0,0,0.281,0.281,0.313,0.594,*1/H
74,Carlos Marmol\marmoca01,0.3,20,2006,23,CHC,NL,24,23,3,6,1,0,1,1,0,0,7,0,1,0,1,0,0,0.261,0.261,0.435,0.696,*1/H
75,Ricky Nolasco\nolasri01,0.3,34,2006,23,FLA,NL,49,41,2,7,0,0,1,5,2,0,19,0,6,0,0,0,0,0.171,0.209,0.244,0.453,*1
76,Scott Olsen (RoY-9th)\olsensc01,0.3,31,2006,22,FLA,NL,64,58,3,11,2,0,0,8,0,0,18,0,6,0,0,0,0,0.19,0.19,0.224,0.414,*1/H
77,Adam Wainwright\wainwad01,0.3,58,2006,24,STL,NL,6,6,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.5,1.167,1.667,*1
78,Jason Vargas (RoY-8th)\vargaja01,0.3,18,2005,22,FLA,NL,27,26,3,8,2,0,0,2,1,0,7,0,0,0,0,0,0,0.308,0.333,0.385,0.718,*1/H
79,Brad Hennessey\hennebr01,0.3,21,2005,25,SFG,NL,41,39,3,9,1,0,2,5,0,0,12,0,2,0,0,0,0,0.231,0.231,0.41,0.641,*1
80,Randy Wolf\wolfra02,0.3,21,1999,22,PHI,NL,39,30,2,7,1,0,0,0,2,0,8,0,7,0,0,0,0,0.233,0.281,0.267,0.548,*1
81,John Thomson\thomsjo01,0.3,25,1997,23,COL,NL,55,47,2,10,0,0,0,5,2,0,23,0,6,0,0,0,0,0.213,0.245,0.213,0.458,*1
82,Will Cunnane\cunnawi01,0.3,52,1997,23,SDP,NL,17,14,4,5,0,1,0,4,2,0,4,0,1,0,0,0,0,0.357,0.438,0.5,0.938,*1/H
83,Matt Morris (RoY-2nd)\morrima01,0.3,34,1997,22,STL,NL,80,73,4,15,2,0,0,6,5,0,36,0,2,0,0,0,1,0.205,0.256,0.233,0.489,*1/H
84,Allen Watson\watsoal01,0.3,16,1993,22,STL,NL,28,26,0,6,3,0,0,2,1,0,2,0,1,0,1,0,0,0.231,0.259,0.346,0.605,*1
85,Jim Bullinger\bulliji01,0.3,39,1992,26,CHC,NL,22,20,3,5,0,0,1,2,1,0,7,0,1,0,0,1,0,0.25,0.286,0.4,0.686,*1
86,Pat Combs\combspa01,0.3,32,1990,23,PHI,NL,67,60,6,9,2,0,0,2,3,0,24,0,4,0,0,0,0,0.15,0.19,0.183,0.374,*1
87,Jimmy Jones\jonesji02,0.3,32,1987,23,SDP,NL,59,49,7,8,0,0,1,3,2,0,18,0,8,0,0,0,0,0.163,0.196,0.224,0.421,*1/H
88,Dwight Gooden (RoY-1st)\goodedw01,0.3,31,1984,19,NYM,NL,83,70,5,14,0,0,0,3,1,0,14,0,10,2,3,0,0,0.2,0.205,0.2,0.405,*1
89,Orel Hershiser (RoY-3rd)\hershor01,0.3,45,1984,25,LAD,NL,62,50,4,10,0,0,0,2,3,0,14,1,8,0,0,0,0,0.2,0.259,0.2,0.459,*1
90,Tim Leary\learyti01,0.3,20,1984,25,NYM,NL,13,10,2,3,0,0,1,1,0,0,2,0,3,0,0,1,0,0.3,0.3,0.6,0.9,*1
91,Frank Williams\willifr01,0.3,61,1984,26,SFG,NL,21,18,1,4,0,0,0,1,3,0,7,0,0,0,0,0,0,0.222,0.333,0.222,0.556,*1
92,Doug Sisk\siskdo01,0.3,67,1983,25,NYM,NL,7,6,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0.5,0.5,0.5,1,*1
93,Walt Terrell\terrewa01,0.3,21,1983,25,NYM,NL,48,44,3,8,1,0,3,8,1,0,17,0,3,0,1,0,0,0.182,0.2,0.409,0.609,*1
94,Bruce Berenyi (RoY-4th)\berenbr01,0.3,21,1981,26,CIN,NL,48,42,4,8,3,0,0,1,2,0,18,0,3,1,1,0,0,0.19,0.222,0.262,0.484,*1
95,Al Holland (RoY-7th)\hollaal01,0.3,54,1980,27,SFG,NL,9,5,2,1,0,1,0,2,2,0,2,0,2,0,0,0,0,0.2,0.429,0.6,1.029,*1
96,Don Robinson (RoY-3rd)\robindo01,0.3,35,1978,21,PIT,NL,89,85,2,20,2,0,0,3,0,0,22,0,4,0,0,0,0,0.235,0.235,0.259,0.494,*1
97,Bob Welch\welchbo01,0.3,23,1978,21,LAD,NL,35,29,3,5,1,0,0,1,0,0,7,0,6,0,0,0,0,0.172,0.172,0.207,0.379,*1
98,John Urrea\urreajo01,0.3,41,1977,22,STL,NL,41,29,2,4,0,0,0,1,9,0,6,0,3,0,0,0,0,0.138,0.342,0.138,0.48,*1
99,Joe McIntosh\mcintjo01,0.3,38,1975,23,SDP,NL,60,48,6,9,2,0,0,5,4,0,10,0,5,3,0,0,0,0.188,0.236,0.229,0.466,*1/H
100,Don Rose\rosedo01,0.3,16,1972,25,CAL,AL,12,10,1,2,0,0,1,1,1,0,3,0,1,0,0,0,0,0.2,0.273,0.5,0.773,*1
101,Don Carrithers\carrido01,0.3,22,1971,21,SFG,NL,21,17,3,3,2,0,0,2,0,0,3,0,4,0,0,1,0,0.176,0.176,0.294,0.471,*1
102,Mike McQueen\mcquemi01,0.3,22,1970,19,ATL,NL,21,20,2,6,2,0,0,2,1,0,3,0,0,0,0,0,0,0.3,0.333,0.4,0.733,*1
103,Sandy Vance\vancesa01,0.3,20,1970,23,LAD,NL,42,37,2,7,1,0,0,2,1,0,9,0,4,0,0,0,0,0.189,0.211,0.216,0.427,*1
104,Bruce Dal Canton\dalcabr01,0.3,57,1969,28,PIT,NL,12,10,2,3,0,1,0,2,2,0,3,0,0,0,0,0,0,0.3,0.417,0.5,0.917,*1
105,Santiago Espinal\espinsa01,0.2,26,2020,25,TOR,AL,66,60,10,16,4,0,0,6,4,0,16,0,1,1,1,1,0,0.267,0.308,0.333,0.641,*6/H15
106,Brandon Woodruff\woodrbr01,0.2,19,2018,25,MIL,NL,10,8,2,2,0,0,1,1,1,0,1,0,1,0,1,0,0,0.25,0.333,0.625,0.958,*1
107,Robert Gsellman\gsellro01,0.2,27,2017,23,NYM,NL,44,34,2,5,0,0,0,4,6,0,14,0,3,1,0,0,0,0.147,0.268,0.147,0.415,*1/H
108,Tyler Cravy\cravyty01,0.2,17,2016,26,MIL,NL,5,4,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0.25,0.25,1,1.25,*1
109,Junior Guerra\guerrju02,0.2,19,2016,31,MIL,NL,43,35,2,8,2,0,0,0,0,0,13,0,8,0,0,0,0,0.229,0.229,0.286,0.514,*1
110,Taylor Motter\motteta01,0.2,33,2016,26,TBR,AL,93,80,11,15,3,0,2,9,11,0,19,1,0,1,1,0,1,0.188,0.29,0.3,0.59,/67H94531D
111,Dean Anna\annade01,0.2,12,2014,27,NYY,AL,25,22,3,3,1,0,1,3,2,0,6,0,0,1,0,0,0,0.136,0.2,0.318,0.518,/*641
112,Marco Gonzales\gonzama02,0.2,10,2014,22,STL,NL,12,10,1,3,2,0,0,0,0,0,2,0,2,0,0,0,0,0.3,0.3,0.5,0.8,*1
113,Gerrit Cole\colege01,0.2,17,2013,22,PIT,NL,36,34,3,7,0,0,0,5,1,0,14,0,1,0,0,0,0,0.206,0.229,0.206,0.434,*1
114,Randall Delgado\delgara01,0.2,16,2012,22,ATL,NL,28,25,3,6,0,0,0,1,0,0,9,0,3,0,1,0,0,0.24,0.24,0.24,0.48,*1
115,Wade Miley (RoY-2nd)\mileywa01,0.2,30,2012,25,ARI,NL,75,65,4,11,2,0,0,2,2,0,20,0,8,0,1,0,0,0.169,0.194,0.2,0.394,*1
116,Vance Worley (RoY-3rd)\worleva01,0.2,24,2011,23,PHI,NL,48,45,4,10,1,0,0,5,1,0,14,0,2,0,0,0,0,0.222,0.239,0.244,0.484,*1
117,Travis Wood\woodtr01,0.2,17,2010,23,CIN,NL,42,37,1,7,2,1,1,3,0,0,15,0,5,0,0,0,0,0.189,0.189,0.378,0.568,*1
118,Barry Enright\enrigba01,0.2,18,2010,24,ARI,NL,37,33,1,8,1,0,0,6,0,0,9,0,3,1,0,0,0,0.242,0.235,0.273,0.508,*1/H
119,Josh Geer\geerjo01,0.2,17,2009,26,SDP,NL,31,24,2,4,1,0,0,1,2,0,10,0,5,0,0,0,0,0.167,0.231,0.208,0.439,*1
120,Shairon Martis\martish01,0.2,13,2009,22,WSN,NL,27,24,4,5,1,0,0,2,0,0,6,0,3,0,0,0,0,0.208,0.208,0.25,0.458,*1
121,Craig Stammen\stammcr01,0.2,18,2009,25,WSN,NL,37,31,1,6,3,0,0,4,2,0,10,0,4,0,0,0,0,0.194,0.242,0.29,0.533,*1/H
122,Hiroki Kuroda\kurodhi01,0.2,30,2008,33,LAD,NL,65,54,2,8,1,0,0,2,5,0,16,0,6,0,1,0,0,0.148,0.22,0.167,0.387,*1
123,Kyle Kendrick (RoY-5th)\kendrky01,0.2,19,2007,22,PHI,NL,50,39,6,6,0,0,0,2,3,0,17,2,5,1,0,0,0,0.154,0.244,0.154,0.398,*1
124,Bobby Livingston\livinbo01,0.2,11,2007,24,CIN,NL,31,25,3,7,0,0,0,2,2,0,7,0,4,0,1,0,0,0.28,0.333,0.28,0.613,*1/H
125,Eric Stults\stulter01,0.2,13,2007,27,LAD,NL,12,12,1,4,2,0,0,0,0,0,5,0,0,0,0,0,0,0.333,0.333,0.5,0.833,*1/H
126,Chris Capuano\capuach01,0.2,17,2004,25,MIL,NL,32,30,0,6,2,0,0,2,1,0,10,1,0,0,0,0,0,0.2,0.25,0.267,0.517,*1
127,Dennis Tankersley\tankede01,0.2,16,2002,23,SDP,NL,13,13,2,4,1,0,1,1,0,0,2,0,0,0,1,0,0,0.308,0.308,0.615,0.923,*1
128,Michael Tejera\tejermi01,0.2,47,2002,25,FLA,NL,41,37,5,7,0,0,1,5,1,0,6,1,2,0,0,0,0,0.189,0.231,0.27,0.501,*1/H
129,T.J. Tucker\tucket.01,0.2,53,2002,23,MON,NL,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,1.5,*1/H
130,Luke Prokopec\prokolu01,0.2,28,2001,23,LAD,NL,43,36,1,7,1,0,0,0,0,0,13,0,7,0,0,0,0,0.194,0.194,0.222,0.417,*1/H
131,Britt Reames\reamebr01,0.2,41,2001,27,MON,NL,24,17,2,2,0,0,1,2,4,0,8,0,3,0,1,0,0,0.118,0.286,0.294,0.58,*1
132,Gene Stechschulte\stechge01,0.2,65,2001,27,STL,NL,4,3,1,2,0,0,1,3,1,0,1,0,0,0,0,0,0,0.667,0.75,1.667,2.417,*1/H
133,Joe Beimel\beimejo01,0.2,41,2001,24,PIT,NL,31,26,3,7,0,0,0,0,1,0,10,0,4,0,0,0,0,0.269,0.296,0.269,0.566,*1
134,Brandon Duckworth\duckwbr01,0.2,11,2001,25,PHI,NL,26,22,1,5,1,0,0,1,2,0,4,0,2,0,1,0,0,0.227,0.292,0.273,0.564,*1
135,Nelson Figueroa\figuene01,0.2,18,2001,27,PHI,NL,26,24,4,6,1,0,0,1,1,0,11,0,1,0,0,0,0,0.25,0.28,0.292,0.572,*1
136,Paul Rigdon\rigdopa01,0.2,13,2000,24,TOT,ML,25,16,3,3,0,0,1,1,2,0,6,0,7,0,1,0,0,0.188,0.278,0.375,0.653,*1
137,Guillermo Mota\motagu01,0.2,47,1999,25,MON,NL,1,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,4,5,*1
138,Joe Nathan\nathajo01,0.2,19,1999,24,SFG,NL,35,28,1,5,1,0,0,1,2,0,6,0,5,0,0,0,0,0.179,0.233,0.214,0.448,*1
139,Kirt Ojala\ojalaki01,0.2,39,1998,29,FLA,NL,31,26,2,4,1,0,0,3,3,0,10,0,2,0,1,0,0,0.154,0.241,0.192,0.434,*1
140,Bronswell Patrick\patribr01,0.2,30,1998,27,MIL,NL,18,15,1,3,0,0,1,1,2,0,3,0,1,0,0,0,0,0.2,0.294,0.4,0.694,*1
141,Rob Stanifer\staniro01,0.2,35,1997,25,FLA,NL,4,3,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0.667,0.75,1,1.75,*1
142,Cory Bailey\baileco01,0.2,51,1996,25,STL,NL,4,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0.667,0,0.667,*1
143,Steve Bourgeois\bourgst01,0.2,15,1996,23,SFG,NL,14,11,1,3,2,0,0,1,2,0,2,0,1,0,0,0,0,0.273,0.385,0.455,0.839,*1
144,Mark Hutton\huttoma01,0.2,13,1996,26,TOT,ML,20,19,2,6,0,0,1,1,0,0,6,0,1,0,1,0,0,0.316,0.316,0.474,0.789,*1
145,Tyler Green\greenty01,0.2,27,1995,25,PHI,NL,52,44,2,8,5,0,1,5,0,0,16,0,8,0,0,0,1,0.182,0.182,0.364,0.545,*1/H
146,Steve Parris\parrist01,0.2,15,1995,27,PIT,NL,29,28,2,7,2,0,0,4,0,0,10,0,1,0,0,0,0,0.25,0.25,0.321,0.571,*1
147,Bobby Munoz\munozbo01,0.2,21,1994,26,PHI,NL,37,34,3,7,0,0,1,6,1,0,11,0,2,0,0,0,0,0.206,0.229,0.294,0.523,*1
148,Larry Luebbers\luebbla01,0.2,14,1993,23,CIN,NL,26,24,1,6,1,0,0,0,0,0,8,1,1,0,0,0,0,0.25,0.28,0.292,0.572,*1
149,Lance Painter\paintla01,0.2,10,1993,25,COL,NL,14,10,2,3,0,1,0,1,1,0,5,0,3,0,0,0,0,0.3,0.364,0.5,0.864,*1
150,Tim Pugh\pughti01,0.2,31,1993,26,CIN,NL,62,54,2,12,1,0,0,1,0,0,20,1,7,0,0,0,0,0.222,0.236,0.241,0.477,*1
151,Kent Bottenfield\botteke01,0.2,10,1992,23,MON,NL,9,8,1,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0.375,0.375,0.375,0.75,*1
152,Cliff Brantley\brantcl01,0.2,28,1992,24,PHI,NL,22,14,1,3,0,1,0,1,1,0,4,0,7,0,0,0,0,0.214,0.267,0.357,0.624,*1
153,Butch Henry\henrybu01,0.2,28,1992,23,HOU,NL,60,54,3,8,0,0,1,7,1,0,10,0,5,0,1,0,0,0.148,0.164,0.204,0.367,*1
154,Mike Stanton (RoY-8th)\stantmi02,0.2,74,1991,24,ATL,NL,7,6,0,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0.5,0.571,0.667,1.238,*1
